t	step	xbase	ybase	xbouchon	ybouchon	theta
s		m	m	m	m	rad
3,025	92	0,4452527876	0,3028896698	0,3273955046	0,2330612067	4,17751485373848
3,055	93	0,4447999387	0,3030406194	0,3237672624	0,237116301	4,21363786475706
3,084	94	0,4443470898	0,3006254253	0,3207792982	0,2413848212	4,2653422572645
3,127	95	0,4437432912	0,2991159289	0,3180047601	0,2443727854	4,30176533798823
3,156	96	0,4431394927	0,2973045333	0,3160839259	0,2480010276	4,34222936839014
3,186	97	0,4423847445	0,2957950369	0,3133093878	0,2518426959	4,38418720385144
3,215	98	0,4410261978	0,2942855405	0,3109617016	0,2558977901	4,42539320163172
3,258	99	0,4398186007	0,2924741449	0,3086140155	0,2593126064	4,46482677321595
3,288	100	0,4390638525	0,2909646485	0,3062663293	0,2625139966	4,50133855909735
3,317	101	0,4384600539	0,2888513536	0,3041320692	0,2655019607	4,54028484735546
3,347	102	0,4371015072	0,2865871091	0,301144105	0,2676362209	4,5738929074703
3,39	103	0,4354410612	0,2834171667	0,2990098449	0,269983907	4,61424355391361
3,42	104	0,4343844138	0,280398174	0,2977292888	0,2723315932	4,65342865018977
3,449	105	0,4327239678	0,2778320302	0,2958084547	0,2748927053	4,69092411203257
3,479	106	0,4307616225	0,2751149367	0,2943144726	0,2774538175	4,72952859648514
3,522	107	0,4289502269	0,2722468937	0,2930339165	0,2795880776	4,76634907837236
3,551	108	0,4269878816	0,2686241024	0,2913265084	0,2812954857	4,80552326486703
3,581	109	0,4248745867	0,2648503615	0,2889788222	0,2834297459	4,8482644804136
3,61	110	0,423063191	0,2624351673	0,2872714141	0,28535058	4,8795679381411
3,652	111	0,421855594	0,2598690235	0,2866311361	0,2868445621	4,9092913444686
3,682	112	0,4194403998	0,2560952826	0,285564006	0,2868445621	4,93815732258671
3,711	113	0,4177799538	0,2523215417	0,2840700239	0,2885519702	4,97699805832964
3,741	114	0,4146100114	0,2479440022	0,2830028938	0,2896191003	5,01906192184643
3,784	115	0,4137043136	0,245528808	0,2808686337	0,2902593783	5,03719890235013
3,814	116	0,4111381698	0,2408493693	0,2804417817	0,2904728043	5,07526055355498
3,843	117	0,4088739252	0,2370756284	0,2795880776	0,2913265084	5,10969359716707
3,873	118	0,4070625296	0,2339056861	0,2791612256	0,2913265084	5,13436633649913
3,916	119	0,4040435369	0,2287733984	0,2785209476	0,2908996563	5,1719810900999
3,946	120	0,401930242	0,2246977582	0,2776672435	0,2902593783	5,19787492592771
3,975	121	0,3992131485	0,2204711684	0,2763866874	0,2902593783	5,22908687588334
4,005	122	0,3958922565	0,2154898304	0,2759598354	0,2896191003	5,26600531478832
4,048	123	0,3942318105	0,2118670392	0,2753195574	0,2879116922	5,28134897487463
4,077	124	0,391967566	0,2074894997	0,2757464094	0,2879116922	5,31770904446463
4,107	125	0,3898542711	0,2035648092	0,2755329834	0,2868445621	5,34196861318658
4,136	126	0,3875900265	0,1985834712	0,2751061313	0,285990858	5,37298837251404
4,179	127	0,3850238827	0,1934511835	0,2748927053	0,284710302	5,40435112536673
4,208	128	0,3821558396	0,1886207952	0,2746792793	0,2832163199	5,4341285186618
4,238	129	0,3782311491	0,1824318601	0,2746792793	0,2815089118	5,47570692526482
4,267	130	0,3755140556	0,1785071696	0,2746792793	0,2795880776	5,4990061257495
4,31	131	0,3721931636	0,1723182345	0,2746792793	0,2780940955	5,53840617432212
4,34	132	0,3694760702	0,1665821483	0,2744658533	0,2755329834	5,56603041955855
4,369	133	0,3681175235	0,1628084074	0,2740390013	0,2729718712	5,57637926320428
4,399	134	0,3647966315	0,1569213716	0,2742524273	0,2706241851	5,61069025510159
4,441	135	0,3617776387	0,1507324365	0,2751061313	0,2676362209	5,6452162468434
4,471	136	0,3574000993	0,1443925518	0,2748927053	0,2644348307	5,68102056793665
4,5	137	0,3548339555	0,1394112138	0,2748927053	0,2605931624	5,70003556778814
4,53	138	0,3513621138	0,1324675305	0,2759598354	0,2573917722	5,74013465041329
4,573	139	0,3480412218	0,1262785954	0,2759598354	0,254403808	5,77073090201778
4,602	140	0,3450222291	0,1214482071	0,2761732614	0,2497084357	5,79053970208123
4,632	141	0,3409465889	0,1154102216	0,2763866874	0,2462936195	5,82494202992639
4,661	142	0,3382294955	0,1105798332	0,2763866874	0,2422385253	5,8440532407343
4,704	143	0,3344557546	0,1030323514	0,2768135395	0,237756579	5,87890031238136
4,733	144	0,3324934093	0,09744721489	0,2770269655	0,2326343547	5,89383659202362
4,763	145	0,3287196684	0,08989973308	0,2783075216	0,2279389824	5,93303261463234
4,792	146	0,3243421289	0,08220130163	0,2787343736	0,222389906	5,96865369490753
4,835	147	0,3211721866	0,07601236655	0,2787343736	0,2181213858	5,99298718110133
4,864	148	0,317247496	0,06861583437	0,2789477996	0,2125723094	6,02315823545805
4,894	149	0,3134737551	0,06257784892	0,2793746516	0,2070232331	6,0513603629871
4,923	150	0,3101528631	0,05563416565	0,2806552077	0,1999801746	6,08160692802782
4,966	151	0,3056243741	0,04869048239	0,2808686337	0,1950713763	6,11565186079011
4,995	152	0,3023034821	0,04159584948	0,2806552077	0,189735726	6,13807840501469
5,025	153	0,2991335397	0,03480311585	0,2812954857	0,1831195195	6,16348995574395
5,054	154	0,2950578995	0,0271046844	0,2815089118	0,175009331	6,19183403451713
5,097	155	0,2912841586	0,02061385005	0,2825760418	0,1673259946	6,22389974449045
5,127	156	0,2884161155	0,01185877114	0,2830028938	0,1604963621	6,24678246780781
5,156	157	0,2852461732	0,007179332421	0,2827894678	0,1545204337	6,26651326010755
